Name,buy,sale
USD,41.15,41.6667
EUR,47.78,48.5437
CHF,51.045,52.0443
PLN,11.26,11.4286
GBP,55.2025,56.1798
NOK,4.079,-
SEK,4.3243,-
JPY,0.2668,-
CZK,1.8185,-
