date,bank,name,buy,sale
07.10.2025,Pr,USD,41,41.4937759336
08.10.2025,Pr,USD,41,41.4937759336
08.10.2025,Pr,USD,41.1,41.6666666667
09.10.2025,Pr,USD,41.15,41.6666666667
10.10.2025,Pr,USD,41.15,41.6666666667
10.10.2025,Pr,USD,41.25,41.8410041841
11.10.2025,Pr,USD,41.35,41.8410041841
12.10.2025,Pr,USD,41.35,41.8410041841
13.10.2025,Pr,USD,41.35,41.8410041841
14.10.2025,Pr,USD,41.35,41.8410041841
