Name,buy,sale
USD,41,41.4938
EUR,47.8,48.7805
CHF,50.97,52.0233
PLN,11.23,11.4548
GBP,54.96,55.8659
NOK,4.0685,-
SEK,4.3208,-
JPY,0.2685,-
CZK,1.8225,-
