Name,buy,sale
USD,41,41.4938
EUR,47.93,48.7805
CHF,51.121,52.1148
PLN,11.26,11.4548
GBP,55.177,56.1798
NOK,4.0785,-
SEK,4.3166,-
JPY,0.2694,-
CZK,1.8275,-
